epoch,accuracy,loss,val_accuracy,val_loss
0,0.25640684366226196,2.8154919147491455,0.5755208134651184,2.0652499198913574
1,0.548384964466095,1.891204595565796,0.7483974099159241,1.188650131225586
2,0.6647757887840271,1.388260841369629,0.8151041865348816,0.8667649626731873
3,0.7170982360839844,1.1652694940567017,0.8419471383094788,0.7378184199333191
4,0.7545381784439087,1.0335440635681152,0.8609775900840759,0.65782630443573
5,0.7800987958908081,0.9445909857749939,0.8745993375778198,0.6031402945518494
6,0.7987186312675476,0.868747353553772,0.8814102411270142,0.574529767036438
7,0.8158035278320312,0.8048813939094543,0.8874198794364929,0.5472863912582397
8,0.8270822167396545,0.763734757900238,0.8940304517745972,0.5230151414871216
9,0.8484383225440979,0.6967199444770813,0.8960336446762085,0.5096842646598816
10,0.8513748049736023,0.6733636260032654,0.8998397588729858,0.4973769187927246
11,0.8629871606826782,0.6375489234924316,0.901442289352417,0.487834632396698
12,0.8737987279891968,0.597303032875061,0.9038461446762085,0.4763845205307007
13,0.8831419944763184,0.5654923915863037,0.9038461446762085,0.46886947751045227
14,0.8940202593803406,0.5333329439163208,0.9064503312110901,0.46494123339653015
