epoch,accuracy,loss,val_accuracy,val_loss
0,0.37308719754219055,2.095986843109131,0.7277047038078308,1.4279838800430298
1,0.6660189628601074,1.3141660690307617,0.8293128609657288,0.7916255593299866
2,0.748967707157135,0.9611532092094421,0.8735380172729492,0.5652619004249573
3,0.792810320854187,0.8062835335731506,0.8954678177833557,0.46703681349754333
4,0.8220791816711426,0.7040119767189026,0.9075292348861694,0.41492459177970886
5,0.8375030159950256,0.6382874846458435,0.9192251563072205,0.3845435380935669
6,0.8593636155128479,0.5769343376159668,0.9243420958518982,0.3585413098335266
7,0.8751518130302429,0.5306366682052612,0.9309210777282715,0.3431544601917267
8,0.8756375908851624,0.5093467831611633,0.9353070259094238,0.323134183883667
9,0.8909400105476379,0.4672364294528961,0.9378654956817627,0.31674662232398987
10,0.8987126350402832,0.4392967224121094,0.9404239654541016,0.30366623401641846
11,0.9064853191375732,0.41889211535453796,0.9415204524993896,0.29933205246925354
12,0.9113432168960571,0.39398181438446045,0.942251443862915,0.29219409823417664
13,0.9136506915092468,0.38228580355644226,0.9429824352264404,0.28950807452201843
14,0.9220306277275085,0.3587872087955475,0.9418859481811523,0.28834155201911926
15,0.9294388890266418,0.3407631814479828,0.9437134265899658,0.2821432650089264
16,0.9342968463897705,0.3235289454460144,0.9473684430122375,0.2754971385002136
17,0.9415836930274963,0.3078307509422302,0.9466374516487122,0.27284520864486694
18,0.9396405220031738,0.3024318814277649,0.942251443862915,0.27268165349960327
19,0.9447413086891174,0.28638285398483276,0.9451754093170166,0.27234113216400146
